location,location2,Reference,SpeciesA_db,SpeciesA_query,SpeciesA_Family,SpeciesA_Class,SpeciesA_Order,SpeciesA_Kingdom,SpeciesB_db,SpeciesB_query,SpeciesB_Family,SpeciesB_Class,SpeciesB_Order,SpeciesB_Kingdom,,,,,,
Sriharikota,India,"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55.",ncbi,Canis aureus,Canidae,Mammalia,Carnivora,Metazoa,ncbi,Calamus rotang,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Sriharikota,India,"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55.",ncbi,Canis aureus,Canidae,Mammalia,Carnivora,Metazoa,ncbi,Phoenix farinifera,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Sriharikota,India,"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55.",ncbi,Viverricula indica,Viverridae,Mammalia,Carnivora,Metazoa,ncbi,Phoenix farinifera,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Hong Kong,,"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55.",ncbi,Eudynamys scolopaceus,Cuculidae,Aves,Cuculiformes,Metazoa,ncbi,Livinstona chinensis,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Krakatau,Indonesia,"Whittaker, R. J., & Jones, S. H. (1994). The role of frugivorous bats and birds in the rebuilding of a tropical forest ecosystem, Krakatau, Indonesia. Journal of Biogeography, 245-258.",ncbi,Ptilinopus,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Oncosperma tigillarium,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Guanabara Bay,Rio de Janeiro,"Batista-da-Silva, J. A., & Souza, A. E. (2014). Complementary diet of Cathartes burrovianus (Cathartidae) with fruit Elaeis guineensis (Arecaceae). Journal of Agricultural Science, 6(11), 58.",ncbi,Cathartes burrovianus,Cathartidae,Aves,Ciconiiformes,Metazoa,ncbi,Elaeis guineensis,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Brazilian Atlantic rainforest,Southeastern Brazil,"Jordano, P. (2016). Chasing ecological interactions. PLoS biology, 14(9), e1002559.",ncbi,Ramphastos ariel,Ramphastidae,Aves,Piciformes,Metazoa,ncbi,Euterpe edulis,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Gabon,Gabon,"Van Valkenburg, J. L. C. H., Sunderland, T. C. H., & Couvreur, T. L. P. (2008). A revision of the genus Sclerosperma (Arecaceae). Kew Bulletin, 63(1), 75-86.
 ",ncbi,Gorilla gorilla,Hominidae,Mammalia,Primates,Metazoa,ncbi,Sclerosperma walkeri,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Garcinia benthamii,Clusiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Baccaurea ramiflora,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Garcinia benthamii,Clusiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Gnetum macrostachyum,Gnetaceae,NA,Gnetales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Toddalia asiatica,Rutaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Diplectria barbata,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus,Moraceae,NA,Rosales,Viridiplantae,,,,,,
