sourceTaxonId	sourceTaxonName	interactionTypeId	InteractionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Canis aureus	RO:0002470	eats		Calamus rotang		Sriharikota					"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55."
	Canis aureus	RO:0002470	eats		Phoenix farinifera		Sriharikota					"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55."
	Viverricula indica	RO:0002470	eats		Phoenix farinifera		Sriharikota					"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55."
	Eudynamys scolopaceus	RO:0002470	eats		Livinstona chinensis		Hong Kong					"David, J. P., Manakadan, R., & Ganesh, T. (2015). Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review. Tropical Ecology, 56(1), 41-55."
	Ptilinopus	RO:0002470	eats		Oncosperma tigillarium		Krakatau					"Whittaker, R. J., & Jones, S. H. (1994). The role of frugivorous bats and birds in the rebuilding of a tropical forest ecosystem, Krakatau, Indonesia. Journal of Biogeography, 245-258."
	Cathartes burrovianus	RO:0002470	eats		Elaeis guineensis		Guanabara Bay				10.5539/jas.v6n11p58	"Batista-da-Silva, J. A., & Souza, A. E. (2014). Complementary diet of Cathartes burrovianus (Cathartidae) with fruit Elaeis guineensis (Arecaceae). Journal of Agricultural Science, 6(11), 58."
	Ramphastos ariel	RO:0002470	eats		Euterpe edulis		Brazilian Atlantic rainforest				"10.1371/
journal.pbio.1002559"	"Jordano, P. (2016). Chasing ecological interactions. PLoS biology, 14(9), e1002559."
	Gorilla gorilla	RO:0002470	eats		Sclerosperma walkeri		Gabon					"Van Valkenburg, J. L. C. H., Sunderland, T. C. H., & Couvreur, T. L. P. (2008). A revision of the genus Sclerosperma (Arecaceae). Kew Bulletin, 63(1), 75-86.
 "
	Macaca leonina	RO:0002470	eats		Garcinia benthamii		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Baccaurea ramiflora		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Garcinia benthamii		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Gnetum macrostachyum		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Toddalia asiatica		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Diplectria barbata		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Ficus		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Melastoma malabathricum		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Ziziphus attopensis		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Baccaurea ramiflora		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Gnetum montanum		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Sysygium cumini		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Machilus odoratissima		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Carallia brachiata		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Piper ribesoides		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Ficus		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Baccaurea ramiflora		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Antiaris toxicaria		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Mangifera indica		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Artocarpus lakoocha		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Polyalthia evecta		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Psychotria ophioxyloides		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Garcinia benthamii		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Gironniera nervosa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Glochidion rubrum		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Gnetum macrostachyum 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Helicia excelsaa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Michelia bailonii 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Miliusa lineata		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Mimosa pudicaa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Mucuna macrocarpa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium cinereum 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium cumini 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium jambos		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
